,leaid,rla_score,math_score
0,100005,32,37.0
1,100006,40,43.0
2,100007,69,70.0
3,100008,71,75.0
6,100013,70,73.0
16,100190,57,58.0
20,100210,64,72.0
21,100240,56,53.0
22,100270,50,53.0
26,100390,23,18.0
27,100420,48,46.0
31,100540,40,40.0
34,100660,37,38.0
46,101020,46,47.0
50,101140,34,37.0
51,101170,37,35.0
53,101230,40,39.0
55,101290,47,53.0
56,101320,54,58.0
58,101380,43,44.0
62,101530,50,53.0
65,101620,33,35.0
75,101770,45,42.0
76,101800,50,47.0
77,101830,36,39.0
80,101920,36,31.0
83,102010,47,50.0
84,102040,35,38.0
85,102070,37,41.0
86,102100,44,39.0
90,102220,54,55.0
94,102370,32,37.0
96,102430,34,27.0
97,102480,45,45.0
98,102490,89,91.0
101,102580,44,47.0
107,102700,35,38.0
118,103030,58,61.0
119,103062,47,52.0
123,103180,34,34.0
129,103360,36,34.0
130,103390,41,45.0
132,103430,81,82.0
133,103450,43,33.0
138,200001,8,5.0
155,200180,35,25.0
156,200210,40,32.0
162,200390,40,24.0
166,200510,39,24.0
171,200600,30,23.0
192,400001,70,69.0
248,400103,8,12.0
254,400112,53,51.0
291,400197,36,40.0
334,400273,11,16.0
347,400295,37,35.0
362,400329,35,33.0
370,400345,42,43.0
371,400347,36,39.0
372,400348,39,38.0
431,400432,35,28.0
442,400450,51,57.0
452,400612,15,22.0
455,400615,44,53.0
474,400680,47,47.0
482,400752,40,41.0
496,400772,40,40.0
514,400794,39,41.0
619,400920,23,21.0
670,401410,29,41.0
677,401740,32,36.0
680,401870,63,65.0
695,402690,39,41.0
699,402860,42,38.0
700,402920,34,30.0
710,403400,63,66.0
712,403450,49,56.0
717,403780,59,64.0
738,404630,45,43.0
744,404970,43,48.0
765,405930,46,49.0
773,406250,45,60.0
775,406330,30,38.0
801,407570,57,62.0
805,407750,59,59.0
814,408170,18,18.0
818,408340,56,59.0
823,408520,30,28.0
828,408800,41,39.0
830,408850,60,65.0
847,409630,21,20.0
848,409731,51,57.0
855,500015,44,35.0
857,500017,35,24.0
858,500019,44,33.0
862,500026,17,6.0
870,500042,36,23.0
871,500043,54,37.0
872,500044,36,23.0
877,500049,42,38.0
896,500394,43,20.0
898,500398,48,30.0
913,500417,46,15.0
915,500419,25,15.0
916,502250,49,36.0
927,502880,48,40.0
928,502960,56,46.0
929,503030,43,28.0
930,503060,62,50.0
935,503320,15-19,8.0
940,503640,53,34.0
941,503690,56,45.0
943,503750,54,43.0
955,504380,43,29.0
958,504590,48,40.0
964,504930,46,44.0
975,505680,37,23.0
979,506060,30,18.0
980,506090,50,37.0
981,506120,58,47.0
985,506270,18,10.0
986,506330,47,34.0
994,506900,70,61.0
996,506990,71,52.0
1004,507380,51,38.0
1014,507890,31,16.0
1017,508040,28,15.0
1018,508130,40,30.0
1020,508280,38,27.0
1024,508610,51,39.0
1026,508670,55,44.0
1030,509000,31,22.0
1038,509390,31,22.0
1059,510440,43,25.0
1061,510680,32,20.0
1071,511610,51,48.0
1076,511850,36,22.0
1078,511970,49,33.0
1080,512060,53,36.0
1083,512210,53,39.0
1085,512450,46,39.0
1088,512520,45-49,27.0
1089,512540,49,34.0
1092,512660,40,33.0
1095,513080,49,35.0
1096,513110,36,26.0
1099,513380,76,55.0
1100,513410,51,36.0
1101,513530,56,42.0
1104,513930,21,10.0
1108,514140,46,33.0
1111,514430,44,29.0
1121,600013,74,58.0
1122,600014,39,21.0
1124,600016,58,27.0
1125,600017,46,18.0
1127,600019,79,63.0
1128,600020,81,68.0
1131,600025,83,71.0
1133,600027,44,19.0
1134,600028,76,44.0
1135,600029,62,35.0
1137,600032,56,52.0
1139,600034,55,26.0
1141,600036,51,25.0
1151,600047,54,28.0
1152,600048,58,34.0
1158,600062,49,30.0
1160,600064,56,23.0
1161,600065,54,15.0
1164,600069,50-54,28.0
1166,600153,64,54.0
1167,600158,62,27.0
1172,601332,44,18.0
1176,601414,59,40.0
1180,601421,39,21.0
1187,601620,73,49.0
1188,601650,81,68.0
1191,601770,68,52.0
1205,602430,41,16.0
1208,602630,52,24.0
1209,602670,68,45.0
1210,602700,54,29.0
1213,602820,37,12.0
1214,602850,44,17.0
1215,602970,64,62.0
1217,603030,57,35.0
1222,603300,53,25.0
1225,603600,54,24.0
1228,603690,51,24.0
1232,603840,34,10.0
1234,604020,39,15.0
1240,604290,54,23.0
1243,604440,62,26.0
1247,604620,57,41.0
1249,604740,66,53.0
1251,604830,80,57.0
1267,605610,78,42.0
1272,605820,56,28.0
1273,605880,59,48.0
1286,606450,65,38.0
1298,606900,44,24.0
1305,607230,69,43.0
1309,607440,74,49.0
1311,607500,66,52.0
1317,607800,65,54.0
1319,607900,52,28.0
1320,607920,46,13.0
1322,607970,49,13.0
1324,608010,57,18.0
1326,608130,54,25.0
1327,608160,65,37.0
1328,608190,45,26.0
1331,608370,62,43.0
1332,608460,57,36.0
1339,608760,70,48.0
1343,609030,76,48.0
