,leaid,math_score,rla_score
0,100005,37.0,32.0
1,100006,43.0,40.0
2,100007,70.0,69.0
3,100008,75.0,71.0
4,100013,73.0,70.0
5,100190,58.0,57.0
6,100210,72.0,64.0
7,100240,53.0,56.0
8,100270,53.0,50.0
9,100390,18.0,23.0
10,100420,46.0,48.0
11,100540,40.0,40.0
12,100660,38.0,37.0
13,101020,47.0,46.0
14,101140,37.0,34.0
15,101170,35.0,37.0
16,101230,39.0,40.0
17,101290,53.0,47.0
18,101320,58.0,54.0
19,101380,44.0,43.0
20,101530,53.0,50.0
21,101620,35.0,33.0
22,101770,42.0,45.0
23,101800,47.0,50.0
24,101830,39.0,36.0
25,101920,31.0,36.0
26,102010,50.0,47.0
27,102040,38.0,35.0
28,102070,41.0,37.0
29,102100,39.0,44.0
30,102220,55.0,54.0
31,102370,37.0,32.0
32,102430,27.0,34.0
33,102480,45.0,45.0
34,102490,91.0,89.0
35,102580,47.0,44.0
36,102700,38.0,35.0
37,103030,61.0,58.0
38,103062,52.0,47.0
39,103180,34.0,34.0
40,103360,34.0,36.0
41,103390,45.0,41.0
42,103430,82.0,81.0
43,103450,33.0,43.0
44,200001,5.0,8.0
45,200180,25.0,35.0
46,200210,32.0,40.0
47,200390,24.0,40.0
48,200510,24.0,39.0
49,200600,23.0,30.0
50,400001,69.0,70.0
51,400103,12.0,8.0
52,400112,51.0,53.0
53,400197,40.0,36.0
54,400273,16.0,11.0
55,400295,35.0,37.0
56,400329,33.0,35.0
57,400345,43.0,42.0
58,400347,39.0,36.0
59,400348,38.0,39.0
60,400432,28.0,35.0
61,400450,57.0,51.0
62,400612,22.0,15.0
63,400615,53.0,44.0
64,400680,47.0,47.0
65,400752,41.0,40.0
66,400772,40.0,40.0
67,400794,41.0,39.0
68,400920,21.0,23.0
69,401410,41.0,29.0
70,401740,36.0,32.0
71,401870,65.0,63.0
72,402690,41.0,39.0
73,402860,38.0,42.0
74,402920,30.0,34.0
75,403400,66.0,63.0
76,403450,56.0,49.0
77,403780,64.0,59.0
78,404630,43.0,45.0
79,404970,48.0,43.0
80,405930,49.0,46.0
81,406250,60.0,45.0
82,406330,38.0,30.0
83,407570,62.0,57.0
84,407750,59.0,59.0
85,408170,18.0,18.0
86,408340,59.0,56.0
87,408520,28.0,30.0
88,408800,39.0,41.0
89,408850,65.0,60.0
90,409630,20.0,21.0
91,409731,57.0,51.0
92,500015,35.0,44.0
93,500017,24.0,35.0
94,500019,33.0,44.0
95,500026,6.0,17.0
96,500042,23.0,36.0
97,500043,37.0,54.0
98,500044,23.0,36.0
99,500049,38.0,42.0
100,500394,20.0,43.0
101,500398,30.0,48.0
102,500417,15.0,46.0
103,500419,15.0,25.0
104,502250,36.0,49.0
105,502880,40.0,48.0
106,502960,46.0,56.0
107,503030,28.0,43.0
108,503060,50.0,62.0
109,503640,34.0,53.0
110,503690,45.0,56.0
111,503750,43.0,54.0
112,504380,29.0,43.0
113,504590,40.0,48.0
114,504930,44.0,46.0
115,505680,23.0,37.0
116,506060,18.0,30.0
117,506090,37.0,50.0
118,506120,47.0,58.0
119,506270,10.0,18.0
120,506330,34.0,47.0
121,506900,61.0,70.0
122,506990,52.0,71.0
123,507380,38.0,51.0
124,507890,16.0,31.0
125,508040,15.0,28.0
126,508130,30.0,40.0
127,508280,27.0,38.0
128,508610,39.0,51.0
129,508670,44.0,55.0
130,509000,22.0,31.0
131,509390,22.0,31.0
132,510440,25.0,43.0
133,510680,20.0,32.0
134,511610,48.0,51.0
135,511850,22.0,36.0
136,511970,33.0,49.0
137,512060,36.0,53.0
138,512210,39.0,53.0
139,512450,39.0,46.0
140,512540,34.0,49.0
141,512660,33.0,40.0
