,leaid,math_score
0,100005,37.0
1,100006,43.0
2,100007,70.0
3,100008,75.0
6,100013,73.0
16,100190,58.0
20,100210,72.0
21,100240,53.0
22,100270,53.0
26,100390,18.0
27,100420,46.0
31,100540,40.0
34,100660,38.0
46,101020,47.0
50,101140,37.0
51,101170,35.0
53,101230,39.0
55,101290,53.0
56,101320,58.0
58,101380,44.0
62,101530,53.0
65,101620,35.0
75,101770,42.0
76,101800,47.0
77,101830,39.0
80,101920,31.0
83,102010,50.0
84,102040,38.0
85,102070,41.0
86,102100,39.0
90,102220,55.0
94,102370,37.0
96,102430,27.0
97,102480,45.0
98,102490,91.0
101,102580,47.0
107,102700,38.0
118,103030,61.0
119,103062,52.0
123,103180,34.0
129,103360,34.0
130,103390,45.0
132,103430,82.0
133,103450,33.0
138,200001,5.0
155,200180,25.0
156,200210,32.0
162,200390,24.0
166,200510,24.0
171,200600,23.0
192,400001,69.0
248,400103,12.0
254,400112,51.0
292,400197,40.0
335,400273,16.0
348,400295,35.0
363,400329,33.0
371,400345,43.0
372,400347,39.0
373,400348,38.0
432,400432,28.0
443,400450,57.0
453,400612,22.0
456,400615,53.0
475,400680,47.0
483,400752,41.0
497,400772,40.0
515,400794,41.0
620,400920,21.0
671,401410,41.0
678,401740,36.0
681,401870,65.0
696,402690,41.0
700,402860,38.0
701,402920,30.0
711,403400,66.0
713,403450,56.0
718,403780,64.0
739,404630,43.0
745,404970,48.0
766,405930,49.0
774,406250,60.0
776,406330,38.0
802,407570,62.0
806,407750,59.0
815,408170,18.0
819,408340,59.0
824,408520,28.0
829,408800,39.0
831,408850,65.0
848,409630,20.0
849,409731,57.0
856,500015,35.0
858,500017,24.0
859,500019,33.0
863,500026,6.0
871,500042,23.0
872,500043,37.0
873,500044,23.0
878,500049,38.0
897,500394,20.0
899,500398,30.0
914,500417,15.0
916,500419,15.0
917,502250,36.0
928,502880,40.0
929,502960,46.0
930,503030,28.0
931,503060,50.0
936,503320,8.0
941,503640,34.0
942,503690,45.0
944,503750,43.0
956,504380,29.0
959,504590,40.0
965,504930,44.0
976,505680,23.0
980,506060,18.0
981,506090,37.0
982,506120,47.0
986,506270,10.0
987,506330,34.0
995,506900,61.0
997,506990,52.0
1005,507380,38.0
1015,507890,16.0
1018,508040,15.0
1019,508130,30.0
1021,508280,27.0
1025,508610,39.0
1027,508670,44.0
1031,509000,22.0
1039,509390,22.0
1060,510440,25.0
1062,510680,20.0
1072,511610,48.0
1077,511850,22.0
1079,511970,33.0
1081,512060,36.0
1084,512210,39.0
1086,512450,39.0
1089,512520,27.0
1090,512540,34.0
1093,512660,33.0
1096,513080,35.0
1097,513110,26.0
1100,513380,55.0
1101,513410,36.0
1102,513530,42.0
1105,513930,10.0
1109,514140,33.0
1112,514430,29.0
1122,600013,58.0
1123,600014,21.0
1125,600016,27.0
1126,600017,18.0
1128,600019,63.0
1129,600020,68.0
1132,600025,71.0
1134,600027,19.0
1135,600028,44.0
1136,600029,35.0
1138,600032,52.0
1140,600034,26.0
1142,600036,25.0
1152,600047,28.0
1153,600048,34.0
1159,600062,30.0
1161,600064,23.0
1162,600065,15.0
1165,600069,28.0
1167,600153,54.0
1168,600158,27.0
1173,601332,18.0
